Pr
1008.98
1008.99
1009.0
1009.0
1008.99
1008.98
1009.0
1008.97
1008.97
1008.98
1009.0
1008.99
1009.01
1008.96
1008.97
1008.94
1008.92
1008.91
1008.9
1008.9
1009.26
1009.24
1009.24
1009.23
1009.25
1009.23
1009.26
1009.25
1009.22
1009.26
1009.23
1009.24
1009.24
1009.26
1009.23
1009.24
1009.26
1009.28
1009.25
1009.2
1009.62
1009.64
1009.6
1009.63
1009.61
1009.6
1009.63
1009.64
1009.61
1009.6
1009.63
1009.61
1009.64
1009.66
1009.62
1009.59
1009.59
1009.6
1009.59
1009.6
1009.92
1009.89
1009.91
1009.91
1009.9
1009.9
1009.89
1009.94
1009.94
1009.92
1009.92
1009.93
1009.92
1009.89
1009.89
1009.86
1009.87
1009.87
1009.81
1009.84
1010.28
1010.25
1010.23
1010.23
1010.24
1010.24
1010.24
1010.21
1010.24
1010.21
1010.16
1010.13
1010.17
1010.24
1010.2
1010.23
1010.2
1010.14
1010.14
1010.13
1010.57
1010.56
1010.55
1010.56
1010.55
1010.55
1010.56
1010.58
1010.56
1010.58
1010.57
1010.58
1010.55
1010.58
1010.6
1010.56
1010.58
1010.57
1010.54
1010.55
1010.9
1010.94
1010.94
1010.89
1010.92
1010.91
1010.93
1010.92
1010.94
1010.9
1010.9
1010.89
1010.92
1010.9
1010.91
1010.88
1010.91
1010.92
1010.91
1010.93
1011.3
1011.27
1011.27
1011.26
1011.29
1011.25
1011.28
1011.31
1011.3
1011.3
1011.28
1011.29
1011.24
1011.29
1011.28
1011.3
1011.28
1011.28
1011.31
1011.24
1011.6
1011.6
1011.65
1011.66
1011.63
1011.64
1011.61
1011.62
1011.64
1011.64
1011.64
1011.63
1011.6
1011.59
1011.6
1011.61
1011.62
1011.61
1011.63
1011.59
1011.94
1011.96
1011.96
1011.97
1011.94
1011.93
1011.95
1011.94
1011.92
1011.97
1011.95
1011.94
1011.98
1011.97
1011.94
1011.98
1011.94
1011.93
1011.96
1011.95
1012.28
1012.26
1012.26
1012.29
1012.28
1012.27
1012.25
1012.25
1012.28
1012.28
1012.29
1012.25
1012.23
1012.27
1012.27
1012.24
1012.27
1012.25
1012.26
1012.23
